timestamp,device,account,voltage,motion
2019-07-31T05:07:28.126000+02:00,F46F6,dummy_user_1,2.8,0
2019-07-31T06:07:41.268000+02:00,F46F6,dummy_user_1,2.8,0
2019-07-31T07:07:53.833000+02:00,F46F6,dummy_user_1,2.8,0
2019-07-31T08:08:05.470000+02:00,F46F6,dummy_user_1,2.8,0
2019-07-31T09:08:19.420000+02:00,F46F6,dummy_user_1,2.8,28
2019-07-31T10:08:31.989000+02:00,F46F6,dummy_user_1,2.8,156
2019-07-31T11:08:48.141000+02:00,F46F6,dummy_user_1,2.8,172
2019-07-31T12:08:56.120000+02:00,F46F6,dummy_user_1,2.8,74
2019-07-31T13:09:11.688000+02:00,F46F6,dummy_user_1,2.8,78
2019-07-31T14:09:21.574000+02:00,F46F6,dummy_user_1,2.8,110
2019-07-31T15:09:33.630000+02:00,F46F6,dummy_user_1,2.8,121
2019-07-31T16:09:55.236000+02:00,F46F6,dummy_user_1,2.8,158
2019-07-31T17:10:01.141000+02:00,F46F6,dummy_user_1,2.8,128
2019-07-31T18:10:11.699000+02:00,F46F6,dummy_user_1,2.8,63
2019-07-31T19:10:24.164000+02:00,F46F6,dummy_user_1,2.8,100
2019-07-31T20:10:36.528000+02:00,F46F6,dummy_user_1,2.8,132
2019-07-31T21:10:48.471000+02:00,F46F6,dummy_user_1,2.8,105
2019-07-31T22:11:00.835000+02:00,F46F6,dummy_user_1,2.8,166
2019-07-31T23:11:14.253000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T00:11:27.408000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T01:11:39.267000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T02:11:51.975000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T03:12:04.845000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T04:12:17.592000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T05:12:29.727000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T06:12:42.719000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T07:12:55.806000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T08:13:07.247000+02:00,F46F6,dummy_user_1,2.8,2
2019-08-01T09:13:20.417000+02:00,F46F6,dummy_user_1,2.8,0
2019-08-01T10:13:33.184000+02:00,F46F6,dummy_user_1,2.8,2
2019-08-01T11:13:45.864000+02:00,F46F6,dummy_user_1,2.8,70
2019-08-01T12:13:58.204000+02:00,F46F6,dummy_user_1,2.8,32
2019-08-01T13:14:11.203000+02:00,F46F6,dummy_user_1,2.8,19
2019-08-01T14:14:23.623000+02:00,F46F6,dummy_user_1,2.8,205
